Socket created
Connected
100
100
100
98
100
99
94
99
100
99
100
96
98
99
99
99
100
100
94
99
100
93
98
97
97
99
100
91
90
100
99
97
99
99
99
98
99
92
100
100
91
99
100
97
100
99
93
99
100
98
93
98
99
100
99
95
100
98
94
100
100
92
93
97
93
100
96
98
96
99
99
98
94
100
94
96
96
100
98
100
99
95
99
99
97
99
98
96
99
98
97
99
99
100
98
99
100
94
95
