Socket created
Connected
95
96
94
96
96
95
96
92
91
96
96
96
95
96
94
96
94
96
96
96
96
96
96
95
96
95
93
96
94
94
96
95
96
95
95
92
92
95
96
94
96
95
95
91
95
96
95
94
91
95
96
93
92
96
96
96
90
95
92
96
93
94
94
95
95
92
94
92
96
93
94
95
96
96
92
91
95
91
95
96
96
95
96
96
95
94
96
96
96
92
91
95
94
96
96
95
94
96
94
95
